2013-06-30 09:59:44,2013-06-30 09:59:44,2013-06-30 09:59:44
32.0,32.0,32.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,65.0
2.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
2.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,65.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
2.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,65.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-6.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,65.0
0.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
0.0,-6.0,64.0
1.0,-6.0,64.0
1.0,-5.0,64.0
1.0,-6.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
3.0,-5.0,64.0
2.0,-5.0,64.0
0.0,-5.0,64.0
0.0,-6.0,64.0
0.0,-6.0,64.0
0.0,-5.0,64.0
0.0,-6.0,64.0
1.0,-5.0,64.0
1.0,-6.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
0.0,-6.0,64.0
1.0,-6.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,65.0
1.0,-5.0,64.0
0.0,-5.0,65.0
1.0,-5.0,65.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
2.0,-5.0,65.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-6.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,65.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-6.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
0.0,-5.0,64.0
2.0,-5.0,64.0
2.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
1.0,-5.0,64.0
0.0,-5.0,64.0
0.0,-5.0,64.0
1.0,-5.0,65.0
1.0,-5.0,64.0
1.0,-5.0,64.0
